Kevo 2018 tuntipohjainen paisteaika:
;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;7;158;403;488;582;401;234;41;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;5;294;715;893;873;886;936;968;878;805;666;220;58;1;0;0;0;0
4;0;0;0;0;0;0;82;297;470;590;535;661;734;766;670;614;601;668;513;379;197;15;0;0
5;0;0;26;75;312;405;461;670;764;966;894;1022;1073;962;949;937;982;878;909;856;800;645;283;5
6;137;186;289;300;303;343;428;375;434;341;273;327;274;319;266;310;286;249;298;312;320;285;185;146
7;64;87;142;302;583;770;923;934;1037;1168;1165;1091;1147;1184;1053;1153;1086;1102;990;1030;1122;1013;732;239
8;0;0;0;0;12;60;200;441;412;547;417;417;375;377;413;457;493;546;486;465;256;53;0;0
9;0;0;0;0;0;0;4;73;274;391;495;665;609;695;685;779;799;584;403;231;16;0;0;0
10;0;0;0;0;0;0;0;0;83;483;703;798;763;623;559;413;224;48;1;0;0;0;0;0
11;0;0;0;0;0;0;0;0;0;37;125;124;79;21;10;0;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
Yht.;201;274;457;678;1211;1580;2107;3087;4201;5578;5886;6484;6581;6320;5720;5512;5140;4299;3660;3276;2712;2014;1201;391
