Kumpula 2018 tuntipohjainen paisteaika:
;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
1;0;0;0;0;0;0;0;0;0;11;176;269;234;225;186;17;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;9;305;614;614;627;706;731;759;799;526;35;0;0;0;0;0;0
3;0;0;0;0;0;0;14;504;977;1038;1089;968;885;890;827;881;781;611;366;164;0;0;0;0
4;0;0;0;0;0;0;95;516;682;718;814;796;884;980;976;1077;1109;1157;922;663;199;0;0;0
5;0;0;0;0;44;989;1378;1411;1448;1456;1614;1632;1561;1632;1594;1636;1567;1492;1511;1567;1397;528;0;0
6;0;0;0;0;270;1142;1317;1310;1300;1215;1229;1138;1175;1126;1233;1094;1093;1038;964;904;989;815;61;0
7;0;0;0;0;31;787;1264;1192;1250;1239;1259;1261;1254;1240;1293;1338;1308;1331;1370;1405;1256;670;19;0
8;0;0;0;0;0;58;735;1174;1244;1264;1283;1272;1156;1127;1056;996;952;865;874;759;509;29;0;0
9;0;0;0;0;0;0;7;302;641;752;628;703;661;646;779;843;893;951;672;163;0;0;0;0
10;0;0;0;0;0;0;0;0;293;602;481;569;648;678;562;559;502;312;13;0;0;0;0;0
11;0;0;0;0;0;0;0;0;0;177;289;343;280;264;357;58;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;25;77;62;100;125;46;0;0;0;0;0;0;0;0;0
Yht.;0;0;0;0;346;2977;4812;6422;8144;9116;9558;9646;9550;9672;9672;9304;8734;7796;6695;5628;4352;2043;80;0
